group_menu_id;main_menu_id;menu_id;submenu_id;view;add;edit;delete;detail;approval
1;1;0;0;1;0;0;0;0;0
1;5;0;0;1;0;1;0;1;0
1;2;1;0;1;1;1;1;1;0
1;2;2;0;1;1;1;1;1;0
1;2;3;0;1;1;1;1;1;0
1;2;4;0;1;1;1;1;1;0
1;3;5;0;1;1;1;1;1;0
1;3;6;0;1;1;1;1;1;0
1;3;7;0;1;1;1;1;1;0
1;4;8;0;1;1;1;1;1;0
1;3;9;0;1;1;1;1;1;0
1;3;10;0;1;1;1;1;1;0
1;3;11;0;1;1;1;1;1;0
1;2;12;0;1;1;1;1;1;0
1;2;13;0;1;1;1;1;1;0
2;1;0;0;1;0;0;0;0;0
2;5;0;0;1;0;1;0;1;0
2;2;1;0;1;0;0;0;1;0
2;2;2;0;1;0;0;0;1;0
2;2;3;0;1;0;0;0;1;0
2;2;4;0;1;0;0;0;1;0
2;3;5;0;0;0;0;0;0;0
2;3;6;0;0;0;0;0;0;0
2;3;7;0;0;0;0;0;0;0
2;4;8;0;1;0;0;0;1;0
2;3;9;0;0;0;0;0;0;0
2;3;10;0;0;0;0;0;0;0
2;3;11;0;0;0;0;0;0;0
2;2;12;0;1;0;0;0;1;0
2;2;13;0;1;0;0;0;1;0
3;1;0;0;1;0;0;0;0;0
3;5;0;0;1;0;1;0;1;0
3;2;1;0;1;0;0;0;1;0
3;2;2;0;1;0;0;0;1;0
3;2;3;0;1;0;0;0;1;0
3;2;4;0;1;0;0;0;1;0
3;3;5;0;0;0;0;0;0;0
3;3;6;0;0;0;0;0;0;0
3;3;7;0;0;0;0;0;0;0
3;4;8;1;1;1;1;1;1;0
3;3;9;0;0;0;0;0;0;0
3;3;10;0;0;0;0;0;0;0
3;3;11;0;0;0;0;0;0;0
3;2;12;0;1;0;0;0;1;0
3;2;13;0;1;0;0;0;1;0
4;1;0;0;1;0;0;0;0;0
4;5;0;0;1;0;1;0;1;0
4;2;1;0;1;1;1;1;1;0
4;2;2;0;1;1;1;1;1;0
4;2;3;0;1;1;1;1;1;0
4;2;4;0;1;1;1;1;1;0
4;3;5;0;1;1;1;1;1;0
4;3;6;0;1;1;1;1;1;0
4;3;7;0;1;1;1;1;1;0
4;4;8;0;1;1;1;1;1;0
4;3;9;0;1;1;1;1;1;0
4;3;10;0;1;1;1;1;1;0
4;3;11;0;1;1;1;1;1;0
4;2;12;0;1;1;1;1;1;0
4;2;13;0;1;1;1;1;1;0
